acc                                                         
time,z_acceleration @ 15934119,z_acceleration @ 15935261,z_acceleration @ 15937105,z_acceleration @ 15939050,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -4.5544218750e+03,   -4.7229770508e+03,   -1.5409002686e+03,   -1.7996181641e+03,
    4.0000001900e-03,   -2.7514123535e+03,   -2.8850073242e+03,   -3.0124069214e+02,   -5.1412805176e+02,
    7.0000002161e-03,   -9.3647912598e+02,   -1.0348150635e+03,    8.9390173340e+02,    7.2918139648e+02,
    8.9999996126e-03,    1.1711730957e+03,    1.1397568359e+03,    1.9021057129e+03,    1.8343961182e+03,
    1.2000000104e-02,    2.8773742676e+03,    2.9344265137e+03,    2.4412629395e+03,    2.4978847656e+03,
    1.4000000432e-02,    3.7258256836e+03,    3.8683291016e+03,    2.4410085449e+03,    2.6128278809e+03,
    1.7000000924e-02,    3.5285476074e+03,    3.7181599121e+03,    1.8639783936e+03,    2.1027165527e+03,
    1.8999999389e-02,    2.7996015625e+03,    2.9805329590e+03,    1.1945544434e+03,    1.4323441162e+03,
    2.1999999881e-02,    2.1666945801e+03,    2.2845571289e+03,    1.0948862305e+03,    1.2590574951e+03,
    2.4000000209e-02,    2.0365046387e+03,    2.0744260254e+03,    1.7718403320e+03,    1.8305714111e+03,
    2.7000000700e-02,    2.3800258789e+03,    2.3559792480e+03,    2.9260263672e+03,    2.8908869629e+03,
    2.8999999166e-02,    2.7427922363e+03,    2.6873676758e+03,    3.9037575684e+03,    3.8090515137e+03,
    3.2000001520e-02,    2.6161745605e+03,    2.5602736816e+03,    3.9549025879e+03,    3.8478188477e+03,
    3.4000001848e-02,    1.8052891846e+03,    1.7633399658e+03,    2.8865314941e+03,    2.8008525391e+03,
    3.7000000477e-02,    5.1659606934e+02,    4.9364541626e+02,    1.0283612061e+03,    9.8436486816e+02,
    3.9000000805e-02,   -7.9005761719e+02,   -7.9341754150e+02,   -9.7142810059e+02,   -9.6626263428e+02,
    4.1999999434e-02,   -1.7599036865e+03,   -1.7344605713e+03,   -2.7511672363e+03,   -2.6817236328e+03,
    4.3999999762e-02,   -2.2838024902e+03,   -2.2141591797e+03,   -4.1361796875e+03,   -3.9847949219e+03,
    4.6999998391e-02,   -2.3960715332e+03,   -2.2692521973e+03,   -4.8655976562e+03,   -4.6291884766e+03,
    4.8999998719e-02,   -2.2840517578e+03,   -2.1033808594e+03,   -4.7672729492e+03,   -4.4740322266e+03,
    5.2000001073e-02,   -2.1633974609e+03,   -1.9562823486e+03,   -3.7990158691e+03,   -3.5120783691e+03,
    5.4000001401e-02,   -2.1167402344e+03,   -1.9226080322e+03,   -2.3642705078e+03,   -2.1468237305e+03,
    5.7000000030e-02,   -2.0696701660e+03,   -1.9346309814e+03,   -1.0185512085e+03,   -9.1707080078e+02,
    5.9000000358e-02,   -1.8687126465e+03,   -1.8240976562e+03,   -1.5129730225e+02,   -1.7595480347e+02,
    6.1999998987e-02,   -1.3560635986e+03,   -1.4191468506e+03,    1.4697270203e+02,    1.0321364403e+01,
    6.4000003040e-02,   -6.0008673096e+02,   -7.6603265381e+02,    4.6669132233e+01,   -1.7233517456e+02,
    6.7000001669e-02,    2.3989968872e+02,    2.1151652336e+00,   -3.2550897217e+02,   -5.7883288574e+02,
    6.8999998271e-02,    9.5915093994e+02,    6.9285882568e+02,   -7.1757733154e+02,   -9.6070111084e+02,
    7.1999996901e-02,    1.4293674316e+03,    1.1840974121e+03,   -6.6690789795e+02,   -8.7074377441e+02,
    7.4000000954e-02,    1.6795511475e+03,    1.4868775635e+03,    1.3274687195e+02,   -3.3418800354e+01,
    7.6999999583e-02,    1.7063497314e+03,    1.5890454102e+03,    1.4412438965e+03,    1.3099682617e+03,
    7.9000003636e-02,    1.5774042969e+03,    1.5502344971e+03,    2.4655988770e+03,    2.3893020020e+03,
    8.2000002265e-02,    1.3416145020e+03,    1.4055128174e+03,    2.6142995605e+03,    2.6220012207e+03,
    8.3999998868e-02,    1.0686157227e+03,    1.1969149170e+03,    2.1383618164e+03,    2.2236098633e+03,
    8.6999997497e-02,    7.4117608643e+02,    8.7685522461e+02,    1.4587332764e+03,    1.5677501221e+03,
    8.9000001550e-02,    1.8048158264e+02,    2.7181179810e+02,    5.9548272705e+02,    6.7469732666e+02,
    9.2000000179e-02,   -8.5131298828e+02,   -8.4806567383e+02,   -8.2263171387e+02,   -8.1035955811e+02,
    9.3999996781e-02,   -2.2588051758e+03,   -2.3690354004e+03,   -2.5356611328e+03,   -2.6148303223e+03,
    9.7000002861e-02,   -3.6640524902e+03,   -3.8913847656e+03,   -3.6967829590e+03,   -3.8903488770e+03,
    9.8999999464e-02,   -4.6803461914e+03,   -4.9948222656e+03,   -3.7938793945e+03,   -4.0998344727e+03,
    1.0199999809e-01,   -4.9776220703e+03,   -5.2993388672e+03,   -3.0233977051e+03,   -3.3730803223e+03,
    1.0400000215e-01,   -4.4370209961e+03,   -4.6739741211e+03,   -2.0929733887e+03,   -2.3753793945e+03,
    1.0700000077e-01,   -3.0145661621e+03,   -3.0825273438e+03,   -1.5715346680e+03,   -1.6607104492e+03,
    1.0899999738e-01,   -1.0850671387e+03,   -9.5628570557e+02,   -1.6042860107e+03,   -1.4365747070e+03,
    1.1200000346e-01,    6.9174230957e+02,    9.8844738770e+02,   -2.1207119141e+03,   -1.7129073486e+03,
    1.1400000006e-01,    1.6461337891e+03,    2.0460612793e+03,   -2.7529655762e+03,   -2.1930415039e+03,
    1.1699999869e-01,    1.2877814941e+03,    1.6892958984e+03,   -2.7974414062e+03,   -2.2530693359e+03,
    1.1900000274e-01,   -3.4646018982e+01,    2.6670043945e+02,   -1.7788410645e+03,   -1.4239011230e+03,
    1.2200000137e-01,   -1.5640296631e+03,   -1.4553308105e+03,    1.3432028198e+02,    1.6821676636e+02,
    1.2399999797e-01,   -2.4515688477e+03,   -2.5609533691e+03,    1.9822135010e+03,    1.6960285645e+03,
    1.2700000405e-01,   -2.0434260254e+03,   -2.3191452637e+03,    2.9161311035e+03,    2.4424101562e+03,
    1.2899999321e-01,   -4.0747579956e+02,   -7.5123834229e+02,    2.9110119629e+03,    2.4263679199e+03,
    1.3199999928e-01,    2.0719506836e+03,    1.7824046631e+03,    2.3012661133e+03,    1.9799948730e+03,
    1.3400000334e-01,    4.4184760742e+03,    4.2697031250e+03,    1.4559102783e+03,    1.3897403564e+03,
    1.3699999452e-01,    5.5515029297e+03,    5.5825239258e+03,    4.8974902344e+02,    6.8316125488e+02,
    1.3899999857e-01,    5.1364594727e+03,    5.3120585938e+03,   -2.3500379944e+02,    1.2329389954e+02,
    1.4200000465e-01,    3.2946557617e+03,    3.5138442383e+03,   -6.5669059753e+01,    2.7545709229e+02,
    1.4399999380e-01,    8.1696856689e+02,    9.8092163086e+02,    9.1296069336e+02,    1.0852845459e+03,
    1.4699999988e-01,   -1.6001485596e+03,   -1.5487115479e+03,    1.8365039062e+03,    1.7847768555e+03,
    1.4900000393e-01,   -3.3703447266e+03,   -3.4260410156e+03,    1.9932740479e+03,    1.7710198975e+03,
    1.5199999511e-01,   -4.0144797363e+03,   -4.1349785156e+03,    1.2569489746e+03,    9.7461260986e+02,
    1.5399999917e-01,   -3.7354113770e+03,   -3.8700024414e+03,   -1.3651051331e+02,   -3.7469638062e+02,
    1.5700000525e-01,   -2.8419348145e+03,   -2.9427221680e+03,   -1.9738261719e+03,   -2.0833662109e+03,
    1.5899999440e-01,   -1.8362568359e+03,   -1.8811702881e+03,   -3.6903527832e+03,   -3.6493232422e+03,
    1.6200000048e-01,   -1.0542491455e+03,   -1.0491900635e+03,   -4.3979345703e+03,   -4.2567998047e+03,
    1.6400000453e-01,   -6.1290081787e+02,   -5.7737591553e+02,   -3.7959274902e+03,   -3.6345612793e+03,
    1.6699999571e-01,   -6.8949536133e+02,   -6.3221643066e+02,   -2.3713632812e+03,   -2.2464428711e+03,
    1.6899999976e-01,   -1.2018824463e+03,   -1.1182753906e+03,   -1.1197242432e+03,   -1.0344531250e+03,
    1.7200000584e-01,   -1.9199024658e+03,   -1.8149169922e+03,   -4.1227923584e+02,   -3.5845352173e+02,
