acc                                                         
time,z_acceleration @ 7661001,z_acceleration @ 7661002,z_acceleration @ 7661003,z_acceleration @ 7661004,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -1.4241366386e+01,    1.2293028831e+01,   -6.4790644531e+03,   -6.6286049805e+03,
    4.0000001900e-03,    9.6849951172e+02,    9.7683227539e+02,   -4.2956850586e+03,   -4.3959604492e+03,
    7.0000002161e-03,    1.8638697510e+03,    1.8629466553e+03,   -2.0691066895e+03,   -2.1226652832e+03,
    8.9999996126e-03,    2.3146757812e+03,    2.3083278809e+03,    7.4853503418e+02,    7.5834277344e+02,
    1.2000000104e-02,    2.2633632812e+03,    2.2483259277e+03,    3.2047626953e+03,    3.2825480957e+03,
    1.4000000432e-02,    1.8427064209e+03,    1.8143507080e+03,    4.5996450195e+03,    4.7323842773e+03,
    1.7000000924e-02,    1.0748197021e+03,    1.0411101074e+03,    4.6427617188e+03,    4.7914843750e+03,
    1.8999999389e-02,    4.2682788086e+02,    3.9903158569e+02,    3.8700898438e+03,    3.9933703613e+03,
    2.1999999881e-02,    6.0145568848e+02,    5.7817803955e+02,    2.8997529297e+03,    2.9718811035e+03,
    2.4000000209e-02,    1.7218063965e+03,    1.6878220215e+03,    2.2717319336e+03,    2.2985397949e+03,
    2.7000000700e-02,    3.3428513184e+03,    3.2830131836e+03,    2.1211621094e+03,    2.1266330566e+03,
    2.8999999166e-02,    4.6790781250e+03,    4.5940122070e+03,    2.1053471680e+03,    2.1068759766e+03,
    3.2000001520e-02,    4.8109282227e+03,    4.7268676758e+03,    1.8480653076e+03,    1.8452639160e+03,
    3.4000001848e-02,    3.5315822754e+03,    3.4847746582e+03,    1.1487655029e+03,    1.1255570068e+03,
    3.7000000477e-02,    1.2522418213e+03,    1.2699002686e+03,    1.4740318298e+02,    8.9883087158e+01,
    3.9000000805e-02,   -1.2406118164e+03,   -1.1544466553e+03,   -7.9526416016e+02,   -8.8708929443e+02,
    4.1999999434e-02,   -3.5494787598e+03,   -3.4110283203e+03,   -1.3160024414e+03,   -1.4236915283e+03,
    4.3999999762e-02,   -5.4449121094e+03,   -5.2832021484e+03,   -1.3398465576e+03,   -1.4348758545e+03,
    4.6999998391e-02,   -6.4824555664e+03,   -6.3435454102e+03,   -1.0738551025e+03,   -1.1214304199e+03,
    4.8999998719e-02,   -6.2967480469e+03,   -6.2270483398e+03,   -9.2513952637e+02,   -9.0152636719e+02,
    5.2000001073e-02,   -4.7224536133e+03,   -4.7569829102e+03,   -1.2702854004e+03,   -1.1723155518e+03,
    5.4000001401e-02,   -2.3859916992e+03,   -2.5237175293e+03,   -2.0103436279e+03,   -1.8593454590e+03,
    5.7000000030e-02,   -2.4404855347e+02,   -4.3758041382e+02,   -2.7020541992e+03,   -2.5439328613e+03,
    5.9000000358e-02,    9.9351800537e+02,    8.1132391357e+02,   -2.8699582520e+03,   -2.7507770996e+03,
    6.1999998987e-02,    1.0972514648e+03,    9.9644024658e+02,   -2.2076435547e+03,   -2.1663247070e+03,
    6.4000003040e-02,    4.0707519531e+02,    4.2422561646e+02,   -9.2381445312e+02,   -9.7349090576e+02,
    6.7000001669e-02,   -7.5114550781e+02,   -6.1688824463e+02,    6.5227966309e+02,    5.2674548340e+02,
    6.8999998271e-02,   -1.8326469727e+03,   -1.6190551758e+03,    2.0453277588e+03,    1.8801750488e+03,
    7.1999996901e-02,   -2.0059133301e+03,   -1.7899376221e+03,    2.7770996094e+03,    2.6281496582e+03,
    7.4000000954e-02,   -8.1082513428e+02,   -6.7047485352e+02,    2.7132717285e+03,    2.6283269043e+03,
    7.6999999583e-02,    1.3550238037e+03,    1.3655303955e+03,    1.9892675781e+03,    2.0002052002e+03,
    7.9000003636e-02,    3.1604963379e+03,    3.0450422363e+03,    1.1816824951e+03,    1.2902352295e+03,
    8.2000002265e-02,    3.6054260254e+03,    3.4168852539e+03,    7.1579907227e+02,    8.9405316162e+02,
    8.3999998868e-02,    3.0300522461e+03,    2.8281420898e+03,    5.5137811279e+02,    7.5538250732e+02,
    8.6999997497e-02,    2.0972229004e+03,    1.9364498291e+03,    4.0640832520e+02,    5.7891131592e+02,
    8.9000001550e-02,    9.5353436279e+02,    8.7106805420e+02,   -1.8912601471e+01,    7.4313507080e+01,
    9.2000000179e-02,   -8.4794360352e+02,   -8.1593237305e+02,   -8.8945123291e+02,   -9.2037939453e+02,
    9.3999996781e-02,   -2.9217062988e+03,   -2.7661501465e+03,   -2.2007485352e+03,   -2.3758623047e+03,
    9.7000002861e-02,   -4.0979360352e+03,   -3.8584775391e+03,   -3.8367519531e+03,   -4.1356489258e+03,
    9.8999999464e-02,   -3.7485786133e+03,   -3.4950136719e+03,   -5.4656914062e+03,   -5.8315952148e+03,
    1.0199999809e-01,   -2.3411494141e+03,   -2.1464697266e+03,   -6.4250913086e+03,   -6.7696069336e+03,
    1.0400000215e-01,   -1.0790565186e+03,   -9.7509033203e+02,   -6.1000541992e+03,   -6.3479130859e+03,
    1.0700000077e-01,   -9.1224395752e+02,   -8.8993255615e+02,   -4.0799934082e+03,   -4.1798125000e+03,
    1.0899999738e-01,   -1.9034376221e+03,   -1.9272701416e+03,   -8.9421649170e+02,   -8.4249340820e+02,
    1.1200000346e-01,   -3.5991254883e+03,   -3.6324594727e+03,    2.3425971680e+03,    2.5100424805e+03,
    1.1400000006e-01,   -5.0467124023e+03,   -5.0815678711e+03,    4.3206884766e+03,    4.5544345703e+03,
    1.1699999869e-01,   -4.8593505859e+03,   -4.9252729492e+03,    3.8212626953e+03,    4.0647473145e+03,
    1.1900000274e-01,   -2.4834067383e+03,   -2.6175698242e+03,    1.1167596436e+03,    1.3230964355e+03,
    1.2200000137e-01,    1.3650988770e+03,    1.1653735352e+03,   -2.4814125977e+03,   -2.3613662109e+03,
    1.2399999797e-01,    4.6938129883e+03,    4.4822128906e+03,   -5.0296650391e+03,   -5.0227890625e+03,
    1.2700000405e-01,    5.8120019531e+03,    5.6727036133e+03,   -4.9611528320e+03,   -5.0602016602e+03,
    1.2899999321e-01,    4.7654125977e+03,    4.7496420898e+03,   -2.3533630371e+03,   -2.5143884277e+03,
    1.3199999928e-01,    2.3456389160e+03,    2.4516406250e+03,    1.9899117432e+03,    1.8407985840e+03,
    1.3400000334e-01,   -3.0036874390e+02,   -1.2047404480e+02,    6.2792656250e+03,    6.2044101562e+03,
    1.3699999452e-01,   -2.3869570312e+03,   -2.2096623535e+03,    8.7020634766e+03,    8.7367666016e+03,
    1.3899999857e-01,   -3.1964426270e+03,   -3.0872231445e+03,    8.4900429688e+03,    8.6222343750e+03,
    1.4200000465e-01,   -1.8053912354e+03,   -1.8181484375e+03,    5.4380537109e+03,    5.6179975586e+03,
    1.4399999380e-01,    1.1776173096e+03,    1.0335170898e+03,    8.6328057861e+02,    1.0337061768e+03,
    1.4699999988e-01,    3.9743251953e+03,    3.7491125488e+03,   -3.6032802734e+03,   -3.4954702148e+03,
    1.4900000393e-01,    5.1416875000e+03,    4.9144804688e+03,   -6.5886489258e+03,   -6.5682407227e+03,
    1.5199999511e-01,    4.2239252930e+03,    4.0803032227e+03,   -7.2409970703e+03,   -7.3087041016e+03,
    1.5399999917e-01,    1.7377630615e+03,    1.7290877686e+03,   -6.0181054688e+03,   -6.1563720703e+03,
    1.5700000525e-01,   -1.7803813477e+03,   -1.6360089111e+03,   -3.5358913574e+03,   -3.7162751465e+03,
    1.5899999440e-01,   -5.1326601562e+03,   -4.8636860352e+03,   -9.3145080566e+02,   -1.1246016846e+03,
    1.6200000048e-01,   -6.6991416016e+03,   -6.3886303711e+03,    7.3629418945e+02,    5.6568963623e+02,
    1.6400000453e-01,   -5.9396591797e+03,   -5.6808125000e+03,    1.1017879639e+03,    9.8349395752e+02,
    1.6699999571e-01,   -3.5298671875e+03,   -3.3988984375e+03,    1.7095437622e+02,    1.2879931641e+02,
    1.6899999976e-01,   -1.1276099854e+03,   -1.1397749023e+03,   -1.3431547852e+03,   -1.3063634033e+03,
    1.7200000584e-01,    5.1189334106e+02,    3.8723239136e+02,   -2.8601669922e+03,   -2.7648815918e+03,
    1.7399999499e-01,    1.7739666748e+03,    1.5828806152e+03,   -3.8152465820e+03,   -3.6924208984e+03,
    1.7700000107e-01,    2.4389584961e+03,    2.2496247559e+03,   -3.5752836914e+03,   -3.4635336914e+03,
    1.7900000513e-01,    1.5867032471e+03,    1.4722479248e+03,   -2.0497424316e+03,   -1.9781263428e+03,
    1.8199999630e-01,   -7.7237500000e+02,   -7.5956762695e+02,    4.4467028809e+02,    4.6111239624e+02,
    1.8400000036e-01,   -2.9921979980e+03,   -2.8650302734e+03,    2.8614838867e+03,    2.8301059570e+03,
    1.8700000644e-01,   -3.6752121582e+03,   -3.5014875488e+03,    4.2358364258e+03,    4.1810107422e+03,
    1.8899999559e-01,   -2.5739663086e+03,   -2.4303505859e+03,    4.2894453125e+03,    4.2378193359e+03,
    1.9200000167e-01,   -3.5335006714e+02,   -3.0061251831e+02,    3.1217011719e+03,    3.0989887695e+03,
