acc                                                         
time,z_acceleration @ 15934119,z_acceleration @ 15935261,z_acceleration @ 15937105,z_acceleration @ 15939050,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -4.7852875977e+03,   -4.9963862305e+03,   -1.7245218506e+03,   -2.0482878418e+03,
    4.0000001900e-03,   -2.8273623047e+03,   -2.9711469727e+03,   -3.2800582886e+02,   -5.6762835693e+02,
    7.0000002161e-03,   -8.5938488770e+02,   -9.3564038086e+02,    1.0482752686e+03,    8.9535253906e+02,
    8.9999996126e-03,    1.3643054199e+03,    1.3835899658e+03,    2.1971486816e+03,    2.1792167969e+03,
    1.2000000104e-02,    3.0853122559e+03,    3.2087238770e+03,    2.7443281250e+03,    2.8761462402e+03,
    1.4000000432e-02,    3.8429570312e+03,    4.0500507812e+03,    2.6049328613e+03,    2.8578110352e+03,
    1.7000000924e-02,    3.4702788086e+03,    3.7009875488e+03,    1.7624586182e+03,    2.0630800781e+03,
    1.8999999389e-02,    2.5695605469e+03,    2.7571225586e+03,    8.1232879639e+02,    1.0788437500e+03,
    2.1999999881e-02,    1.8672230225e+03,    1.9605219727e+03,    5.4380834961e+02,    7.0362951660e+02,
    2.4000000209e-02,    1.7917355957e+03,    1.7857358398e+03,    1.2184328613e+03,    1.2490487061e+03,
    2.7000000700e-02,    2.2754084473e+03,    2.1983884277e+03,    2.5417592773e+03,    2.4623681641e+03,
    2.8999999166e-02,    2.7654262695e+03,    2.6503708496e+03,    3.7651616211e+03,    3.6100568848e+03,
    3.2000001520e-02,    2.6622124023e+03,    2.5344311523e+03,    4.0437124023e+03,    3.8527456055e+03,
    3.4000001848e-02,    1.7640727539e+03,    1.6313929443e+03,    3.1232390137e+03,    2.9237390137e+03,
    3.7000000477e-02,    3.4384463501e+02,    2.1671495056e+02,    1.3265093994e+03,    1.1470014648e+03,
    3.9000000805e-02,   -1.0387386475e+03,   -1.1446959229e+03,   -6.5424151611e+02,   -7.8620953369e+02,
    4.1999999434e-02,   -1.9476820068e+03,   -2.0035682373e+03,   -2.4254423828e+03,   -2.4669687500e+03,
    4.3999999762e-02,   -2.2742829590e+03,   -2.2498937988e+03,   -3.7924858398e+03,   -3.7038073730e+03,
    4.6999998391e-02,   -2.0757253418e+03,   -1.9451326904e+03,   -4.4962807617e+03,   -4.2563720703e+03,
    4.8999998719e-02,   -1.6234395752e+03,   -1.3800064697e+03,   -4.3785000000e+03,   -4.0061977539e+03,
    5.2000001073e-02,   -1.2496243896e+03,   -9.1796081543e+02,   -3.4297478027e+03,   -2.9916000977e+03,
    5.4000001401e-02,   -1.1257973633e+03,   -7.5440661621e+02,   -2.0704882812e+03,   -1.6469035645e+03,
    5.7000000030e-02,   -1.2705784912e+03,   -9.3375543213e+02,   -8.7120446777e+02,   -5.4520532227e+02,
    5.9000000358e-02,   -1.4826614990e+03,   -1.2472293701e+03,   -1.9445668030e+02,   -1.6256278992e+01,
    6.1999998987e-02,   -1.5238491211e+03,   -1.4474761963e+03,   -9.2184562683e+01,   -8.9567626953e+01,
    6.4000003040e-02,   -1.3096539307e+03,   -1.4163037109e+03,   -3.5540380859e+02,   -5.2552398682e+02,
    6.7000001669e-02,   -8.4587615967e+02,   -1.1228135986e+03,   -8.2324743652e+02,   -1.1310323486e+03,
    6.8999998271e-02,   -2.6157269287e+02,   -6.6317651367e+02,   -1.2397930908e+03,   -1.6324458008e+03,
    7.1999996901e-02,    3.9083938599e+02,   -5.5177627563e+01,   -1.1293984375e+03,   -1.5415725098e+03,
    7.4000000954e-02,    1.0594810791e+03,    6.4946710205e+02,   -2.0841532898e+02,   -5.9094519043e+02,
    7.6999999583e-02,    1.6166680908e+03,    1.3234433594e+03,    1.2455759277e+03,    9.4784967041e+02,
    7.9000003636e-02,    1.9416665039e+03,    1.8152947998e+03,    2.3871599121e+03,    2.2286813965e+03,
    8.2000002265e-02,    1.9296993408e+03,    1.9884395752e+03,    2.5884631348e+03,    2.6130944824e+03,
    8.3999998868e-02,    1.6499937744e+03,    1.8674737549e+03,    2.1142770996e+03,    2.3113347168e+03,
    8.6999997497e-02,    1.1162431641e+03,    1.4205686035e+03,    1.4098217773e+03,    1.7034438477e+03,
    8.9000001550e-02,    2.5086927795e+02,    5.5513623047e+02,    5.1690185547e+02,    8.1315563965e+02,
    9.2000000179e-02,   -1.0979777832e+03,   -9.0132409668e+02,   -9.1937048340e+02,   -7.2300695801e+02,
    9.3999996781e-02,   -2.7193635254e+03,   -2.7100473633e+03,   -2.6069985352e+03,   -2.5876201172e+03,
    9.7000002861e-02,   -4.0921975098e+03,   -4.3042749023e+03,   -3.6396767578e+03,   -3.8468759766e+03,
    9.8999999464e-02,   -4.8270781250e+03,   -5.2240869141e+03,   -3.5048159180e+03,   -3.9260163574e+03,
    1.0199999809e-01,   -4.6628579102e+03,   -5.1353598633e+03,   -2.4411955566e+03,   -2.9715512695e+03,
    1.0400000215e-01,   -3.6519135742e+03,   -4.0705844727e+03,   -1.2449982910e+03,   -1.7288634033e+03,
    1.0700000077e-01,   -1.9195238037e+03,   -2.1531062012e+03,   -5.9169110107e+02,   -8.4888580322e+02,
    1.0899999738e-01,    8.7094650269e+01,    1.0492472076e+02,   -6.7428076172e+02,   -5.9940264893e+02,
    1.1200000346e-01,    1.6579687500e+03,    1.9288873291e+03,   -1.4717697754e+03,   -1.0541131592e+03,
    1.1400000006e-01,    2.2146794434e+03,    2.6813403320e+03,   -2.5505649414e+03,   -1.8792043457e+03,
    1.1699999869e-01,    1.3758128662e+03,    1.9259755859e+03,   -3.1094296875e+03,   -2.3773686523e+03,
    1.1900000274e-01,   -3.7666375732e+02,    1.3221688843e+02,   -2.5273908691e+03,   -1.9452757568e+03,
    1.2200000137e-01,   -2.2034118652e+03,   -1.8754025879e+03,   -8.3154528809e+02,   -5.8617376709e+02,
    1.2399999797e-01,   -3.2658061523e+03,   -3.2006069336e+03,    1.0415638428e+03,    8.9745520020e+02,
    1.2700000405e-01,   -2.9102373047e+03,   -3.1176706543e+03,    2.2482434082e+03,    1.7981414795e+03,
    1.2899999321e-01,   -1.2213679199e+03,   -1.6314444580e+03,    2.6502045898e+03,    2.0570961914e+03,
    1.3199999928e-01,    1.4328175049e+03,    9.5577764893e+02,    2.4566638184e+03,    1.9223166504e+03,
    1.3400000334e-01,    4.0322436523e+03,    3.6186557617e+03,    1.8961571045e+03,    1.5632749023e+03,
    1.3699999452e-01,    5.4430991211e+03,    5.2001381836e+03,    9.5200726318e+02,    8.9360827637e+02,
    1.3899999857e-01,    5.2817382812e+03,    5.2391240234e+03,    1.3029347420e+01,    1.9255628967e+02,
    1.4200000465e-01,    3.6407341309e+03,    3.7644777832e+03,   -1.8619960022e+02,    1.0286677551e+02,
    1.4399999380e-01,    1.2783764648e+03,    1.5000623779e+03,    4.2696246338e+02,    6.9160949707e+02,
    1.4699999988e-01,   -1.1849555664e+03,   -9.4519238281e+02,    1.1235096436e+03,    1.2767150879e+03,
    1.4900000393e-01,   -3.1504343262e+03,   -2.9481796875e+03,    1.2551110840e+03,    1.2873736572e+03,
    1.5199999511e-01,   -4.0774892578e+03,   -3.9544313965e+03,    7.5114978027e+02,    6.9164044189e+02,
    1.5399999917e-01,   -4.0573410645e+03,   -4.0302690430e+03,   -2.3644702148e+02,   -3.4477557373e+02,
    1.5700000525e-01,   -3.2823720703e+03,   -3.3526855469e+03,   -1.5955959473e+03,   -1.7079512939e+03,
    1.5899999440e-01,   -2.1966687012e+03,   -2.3471132812e+03,   -2.8902558594e+03,   -2.9812231445e+03,
    1.6200000048e-01,   -1.0840368652e+03,   -1.2751856689e+03,   -3.3433771973e+03,   -3.4123911133e+03,
    1.6400000453e-01,   -1.6091352844e+02,   -3.4262124634e+02,   -2.6862204590e+03,   -2.7426757812e+03,
    1.6699999571e-01,    2.1778462219e+02,    1.1012850952e+02,   -1.4574204102e+03,   -1.4865091553e+03,
    1.6899999976e-01,   -4.8784961700e+01,   -3.9530269623e+01,   -5.8990563965e+02,   -5.5973046875e+02,
    1.7200000584e-01,   -8.6649688721e+02,   -7.3082342529e+02,   -3.6827389526e+02,   -2.6222445679e+02,
    1.7399999499e-01,   -1.6414604492e+03,   -1.4095439453e+03,   -1.9684429932e+02,   -3.9162895203e+01,
    1.7700000107e-01,   -1.9038195801e+03,   -1.6404267578e+03,    6.2176849365e+01,    2.2684637451e+02,
    1.7900000513e-01,   -1.7066530762e+03,   -1.4775384521e+03,   -2.4257688904e+02,   -8.9962905884e+01,
    1.8199999630e-01,   -1.1047482910e+03,   -9.7527520752e+02,   -1.1896253662e+03,   -1.0671053467e+03,
    1.8400000036e-01,   -2.5558106995e+02,   -2.6218316650e+02,   -1.9315463867e+03,   -1.8742976074e+03,
    1.8700000644e-01,    6.5176043701e+02,    5.0023541260e+02,   -1.7746849365e+03,   -1.8307496338e+03,
    1.8899999559e-01,    1.3963842773e+03,    1.1241314697e+03,   -7.0159588623e+02,   -8.9678027344e+02,
    1.9200000167e-01,    1.7344818115e+03,    1.4027735596e+03,    7.4316406250e+02,    4.3370388794e+02,
    1.9400000572e-01,    1.6467474365e+03,    1.3288088379e+03,    1.8940130615e+03,    1.5368966064e+03,
    1.9699999690e-01,    1.3577866211e+03,    1.1386177979e+03,    2.6036347656e+03,    2.2943266602e+03,
    1.9900000095e-01,    1.1813717041e+03,    1.1165356445e+03,    2.9367575684e+03,    2.7535190430e+03,
    2.0200000703e-01,    1.1885518799e+03,    1.2951938477e+03,    2.5748750000e+03,    2.5777614746e+03,
    2.0399999619e-01,    1.2979376221e+03,    1.5416048584e+03,    1.6115520020e+03,    1.8030134277e+03,
    2.0700000226e-01,    1.4203170166e+03,    1.7133222656e+03,    4.5316900635e+02,    7.6228338623e+02,
    2.0900000632e-01,    1.4658441162e+03,    1.7113074951e+03,   -4.2431124878e+02,   -1.0445697784e+02,
    2.1199999750e-01,    1.3397102051e+03,    1.4445449219e+03,   -6.5264874268e+02,   -4.4786843872e+02,
    2.1400000155e-01,    1.0060684814e+03,    9.2809484863e+02,   -2.1962355042e+02,   -2.1103625488e+02,
    2.1699999273e-01,    5.5531103516e+02,    3.0863534546e+02,    6.9644104004e+02,    4.9108212280e+02,
    2.1899999678e-01,    2.1531192017e+02,   -1.3814479065e+02,    1.6737021484e+03,    1.3103972168e+03,
    2.2200000286e-01,    1.6699761963e+02,   -1.8661871338e+02,    2.2365541992e+03,    1.8423399658e+03,
    2.2400000691e-01,    4.4401480103e+02,    1.9168872070e+02,    2.1889804688e+03,    1.8980162354e+03,
    2.2699999809e-01,    9.7872320557e+02,    9.1711944580e+02,    1.5904089355e+03,    1.5216063232e+03,
    2.2900000215e-01,    1.5506773682e+03,    1.7132731934e+03,    8.3772802734e+02,    1.0320435791e+03,
    2.3199999332e-01,    1.8125059814e+03,    2.1711467285e+03,    2.0436648560e+02,    6.1944836426e+02,
    2.3399999738e-01,    1.5371674805e+03,    2.0150086670e+03,   -2.7412057495e+02,    2.6266711426e+02,
    2.3700000346e-01,    6.6051513672e+02,    1.1371815186e+03,   -6.3144281006e+02,   -1.1421611786e+02,
    2.3899999261e-01,   -4.9617083740e+02,   -1.2533721924e+02,   -9.0166723633e+02,   -5.1699041748e+02,
    2.4199999869e-01,   -1.4344088135e+03,   -1.2501757812e+03,   -9.1276684570e+02,   -7.3971661377e+02,
    2.4400000274e-01,   -1.7655361328e+03,   -1.7858468018e+03,   -5.6045428467e+02,   -6.0896813965e+02,
    2.4699999392e-01,   -1.2966074219e+03,   -1.4824163818e+03,    3.5364234924e+01,   -1.7924662781e+02,
    2.4899999797e-01,   -3.0073577881e+02,   -5.7868579102e+02,    5.5952874756e+02,    2.6937966919e+02,
    2.5200000405e-01,    8.3113153076e+02,    5.5778363037e+02,    7.7336718750e+02,    5.1478363037e+02,
    2.5400000811e-01,    1.6546019287e+03,    1.4595485840e+03,    6.1837023926e+02,    4.6291281128e+02,
    2.5699999928e-01,    1.8256981201e+03,    1.7616263428e+03,    9.3601387024e+01,    8.1303169250e+01,
    2.5900000334e-01,    1.3874875488e+03,    1.4646994629e+03,   -5.5036566162e+02,   -4.2645968628e+02,
    2.6199999452e-01,    5.1683087158e+02,    7.0777758789e+02,   -9.8419299316e+02,   -7.7159088135e+02,
    2.6399999857e-01,   -4.3026315308e+02,   -1.7775654602e+02,   -1.0167787476e+03,   -7.8019726562e+02,
    2.6699998975e-01,   -1.1588017578e+03,   -9.2135266113e+02,   -6.0284936523e+02,   -4.2030294800e+02,
    2.6899999380e-01,   -1.5684722900e+03,   -1.4142247314e+03,    3.9095062256e+01,    1.0850686646e+02,
    2.7200001478e-01,   -1.6254221191e+03,   -1.6104514160e+03,    6.2571563721e+02,    5.4544244385e+02,
    2.7399998903e-01,   -1.4612739258e+03,   -1.6023500977e+03,    9.4049017334e+02,    7.1296331787e+02,
    2.7700001001e-01,   -1.1156132812e+03,   -1.3862814941e+03,    8.9702838135e+02,    5.6590966797e+02,
