acc                                                         
time,z_acceleration @ 7661001,z_acceleration @ 7661002,z_acceleration @ 7661003,z_acceleration @ 7661004,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -2.4110308838e+02,   -1.5484680176e+02,   -6.7686489258e+03,   -6.9666464844e+03,
    4.0000001900e-03,    9.4447552490e+02,    9.7654644775e+02,   -4.4196308594e+03,   -4.5355185547e+03,
    7.0000002161e-03,    2.0846833496e+03,    2.0680910645e+03,   -2.0431401367e+03,   -2.0788342285e+03,
    8.9999996126e-03,    2.7347614746e+03,    2.6741545410e+03,    8.9234765625e+02,    9.5054089355e+02,
    1.2000000104e-02,    2.7108369141e+03,    2.6194777832e+03,    3.3805908203e+03,    3.5230947266e+03,
    1.4000000432e-02,    2.1175954590e+03,    2.0149178467e+03,    4.7190375977e+03,    4.9136181641e+03,
    1.7000000924e-02,    9.9424285889e+02,    9.1595965576e+02,    4.6361357422e+03,    4.8212597656e+03,
    1.8999999389e-02,   -4.9727142334e+01,   -7.8875953674e+01,    3.7456069336e+03,    3.8694663086e+03,
    2.1999999881e-02,   -1.4552037048e+02,   -1.3104899597e+02,    2.7508098145e+03,    2.7929204102e+03,
    2.4000000209e-02,    9.1731988525e+02,    9.4390753174e+02,    2.1981752930e+03,    2.1788032227e+03,
    2.7000000700e-02,    2.7249404297e+03,    2.7291523438e+03,    2.1608398438e+03,    2.1177685547e+03,
    2.8999999166e-02,    4.3854023438e+03,    4.3575122070e+03,    2.1957172852e+03,    2.1508132324e+03,
    3.2000001520e-02,    4.8682548828e+03,    4.8336533203e+03,    1.8383450928e+03,    1.7860604248e+03,
    3.4000001848e-02,    3.8674304199e+03,    3.8679921875e+03,    9.1319628906e+02,    8.2909594727e+02,
    3.7000000477e-02,    1.7532866211e+03,    1.8178891602e+03,   -3.2834216309e+02,   -4.5770294189e+02,
    3.9000000805e-02,   -6.6486425781e+02,   -5.3640002441e+02,   -1.3923347168e+03,   -1.5574121094e+03,
    4.1999999434e-02,   -2.9792412109e+03,   -2.8107448730e+03,   -1.8044217529e+03,   -1.9722939453e+03,
    4.3999999762e-02,   -4.9305722656e+03,   -4.7574482422e+03,   -1.5046192627e+03,   -1.6348925781e+03,
    4.6999998391e-02,   -6.0660722656e+03,   -5.9390278320e+03,   -7.3965826416e+02,   -7.8682366943e+02,
    4.8999998719e-02,   -5.9981748047e+03,   -5.9663305664e+03,   -4.7254810333e+01,    2.0574689865e+01,
    5.2000001073e-02,   -4.5549599609e+03,   -4.6517080078e+03,    2.4468046188e+01,    2.1240667725e+02,
    5.4000001401e-02,   -2.3482753906e+03,   -2.5669465332e+03,   -5.5668908691e+02,   -2.7741540527e+02,
    5.7000000030e-02,   -3.1881158447e+02,   -6.0028424072e+02,   -1.4853928223e+03,   -1.1825572510e+03,
    5.9000000358e-02,    8.3594421387e+02,    5.7181622314e+02,   -2.2207031250e+03,   -1.9671455078e+03,
    6.1999998987e-02,    9.0023303223e+02,    7.3796606445e+02,   -2.3474282227e+03,   -2.2117724609e+03,
    6.4000003040e-02,    1.9696226501e+02,    1.8485478210e+02,   -1.8506590576e+03,   -1.8668115234e+03,
    6.7000001669e-02,   -9.7367663574e+02,   -8.2603112793e+02,   -8.3270391846e+02,   -9.9833404541e+02,
    6.8999998271e-02,   -2.0892258301e+03,   -1.8163677979e+03,    3.5014129639e+02,    7.3786399841e+01,
    7.1999996901e-02,   -2.3192714844e+03,   -2.0073399658e+03,    1.3342081299e+03,    1.0273352051e+03,
    7.4000000954e-02,   -1.1794978027e+03,   -9.2706121826e+02,    1.8687564697e+03,    1.6174171143e+03,
    7.6999999583e-02,    9.5204278564e+02,    1.0615793457e+03,    1.9150670166e+03,    1.7962642822e+03,
    7.9000003636e-02,    2.7516850586e+03,    2.6997126465e+03,    1.7804807129e+03,    1.8231123047e+03,
    8.2000002265e-02,    3.2356323242e+03,    3.0578950195e+03,    1.6663592529e+03,    1.8552755127e+03,
    8.3999998868e-02,    2.7509494629e+03,    2.5007138672e+03,    1.5180125732e+03,    1.8084499512e+03,
    8.6999997497e-02,    1.9663845215e+03,    1.7033869629e+03,    1.0812830811e+03,    1.4026394043e+03,
    8.9000001550e-02,    9.8688024902e+02,    7.6968389893e+02,    2.0057014465e+02,    4.7541217041e+02,
    9.2000000179e-02,   -6.8197692871e+02,   -7.7608074951e+02,   -1.1649805908e+03,   -1.0340300293e+03,
    9.3999996781e-02,   -2.6604052734e+03,   -2.5858159180e+03,   -2.8437812500e+03,   -2.9205942383e+03,
    9.7000002861e-02,   -3.7434519043e+03,   -3.5176538086e+03,   -4.5249721680e+03,   -4.8120380859e+03,
    9.8999999464e-02,   -3.2704851074e+03,   -2.9659899902e+03,   -5.8664760742e+03,   -6.2992592773e+03,
    1.0199999809e-01,   -1.7144283447e+03,   -1.4256635742e+03,   -6.2823569336e+03,   -6.7454443359e+03,
    1.0400000215e-01,   -3.1455459595e+02,   -1.0323281097e+02,   -5.3714941406e+03,   -5.7571840820e+03,
    1.0700000077e-01,   -8.7555755615e+01,    1.9109300613e+01,   -2.9252822266e+03,   -3.1438186035e+03,
    1.0899999738e-01,   -1.1438601074e+03,   -1.1317432861e+03,    4.3512265015e+02,    4.1615661621e+02,
    1.1200000346e-01,   -3.0956616211e+03,   -3.1519221191e+03,    3.5355332031e+03,    3.6990808105e+03,
    1.1400000006e-01,   -4.9614526367e+03,   -5.0677119141e+03,    5.1611621094e+03,    5.4570434570e+03,
    1.1699999869e-01,   -5.2785297852e+03,   -5.4384360352e+03,    4.1972114258e+03,    4.5538261719e+03,
    1.1900000274e-01,   -3.3398823242e+03,   -3.5654201660e+03,    1.0415352783e+03,    1.3912833252e+03,
    1.2200000137e-01,    3.1024517822e+02,    4.5194267273e+01,   -2.9417209473e+03,   -2.6817448730e+03,
    1.2399999797e-01,    3.7270759277e+03,    3.4896052246e+03,   -5.8244179688e+03,   -5.7177700195e+03,
    1.2700000405e-01,    5.2335126953e+03,    5.1125410156e+03,   -6.0296630859e+03,   -6.1063022461e+03,
    1.2899999321e-01,    4.7261713867e+03,    4.7659130859e+03,   -3.5889707031e+03,   -3.8186350098e+03,
    1.3199999928e-01,    2.8115241699e+03,    2.9933750000e+03,    7.9629083252e+02,    5.0227337646e+02,
    1.3400000334e-01,    4.4640274048e+02,    7.0816113281e+02,    5.3428964844e+03,    5.0786484375e+03,
    1.3699999452e-01,   -1.7580357666e+03,   -1.5023044434e+03,    8.2243759766e+03,    8.0693120117e+03,
    1.3899999857e-01,   -3.0190756836e+03,   -2.8406411133e+03,    8.5699404297e+03,    8.5524677734e+03,
    1.4200000465e-01,   -2.2621052246e+03,   -2.2267692871e+03,    6.0744106445e+03,    6.1882714844e+03,
    1.4399999380e-01,    1.5886032104e+02,    3.0307153702e+01,    1.9095296631e+03,    2.1184501953e+03,
    1.4699999988e-01,    2.6985317383e+03,    2.4521193848e+03,   -2.4926706543e+03,   -2.2560239258e+03,
    1.4900000393e-01,    3.9867431641e+03,    3.7066169434e+03,   -5.7725434570e+03,   -5.5732094727e+03,
    1.5199999511e-01,    3.6084177246e+03,    3.3917514648e+03,   -7.0119799805e+03,   -6.9062392578e+03,
    1.5399999917e-01,    1.8868712158e+03,    1.8009730225e+03,   -6.4406391602e+03,   -6.4566977539e+03,
    1.5700000525e-01,   -8.6582598877e+02,   -7.8078222656e+02,   -4.4294829102e+03,   -4.5744814453e+03,
    1.5899999440e-01,   -3.6678232422e+03,   -3.4245671387e+03,   -1.9474094238e+03,   -2.1980666504e+03,
    1.6200000048e-01,   -5.0782797852e+03,   -4.7555961914e+03,    9.3996383667e+01,   -1.9854397583e+02,
    1.6400000453e-01,   -4.5326552734e+03,   -4.2332573242e+03,    1.1897457275e+03,    9.3167474365e+02,
    1.6699999571e-01,   -2.6831103516e+03,   -2.4990222168e+03,    1.0947956543e+03,    9.4382855225e+02,
    1.6899999976e-01,   -9.9995825195e+02,   -9.5968035889e+02,    1.9530416870e+02,    1.7911521912e+02,
    1.7200000584e-01,   -3.0936769485e+01,   -1.1957279968e+02,   -1.1966657715e+03,   -1.0884678955e+03,
    1.7399999499e-01,    8.0171496582e+02,    6.1417126465e+02,   -2.4922976074e+03,   -2.2908215332e+03,
    1.7700000107e-01,    1.4175637207e+03,    1.1900673828e+03,   -3.0280673828e+03,   -2.7905454102e+03,
    1.7900000513e-01,    8.0220965576e+02,    6.1944903564e+02,   -2.5059797363e+03,   -2.3022541504e+03,
    1.8199999630e-01,   -1.1339504395e+03,   -1.1917971191e+03,   -9.7256732178e+02,   -8.6959234619e+02,
    1.8400000036e-01,   -2.9086770020e+03,   -2.8301550293e+03,    8.1831591797e+02,    8.0066925049e+02,
    1.8700000644e-01,   -3.2720717773e+03,   -3.1054191895e+03,    2.1529711914e+03,    2.0361469727e+03,
    1.8899999559e-01,   -2.0453769531e+03,   -1.8617714844e+03,    2.6763637695e+03,    2.5063227539e+03,
    1.9200000167e-01,    5.9580028534e+01,    1.9302287292e+02,    2.3323769531e+03,    2.1675786133e+03,
    1.9400000572e-01,    1.9862159424e+03,    2.0353781738e+03,    1.4944444580e+03,    1.3813663330e+03,
    1.9699999690e-01,    3.3704853516e+03,    3.3164240723e+03,    6.1989172363e+02,    6.0378790283e+02,
    1.9900000095e-01,    4.1126191406e+03,    3.9605856934e+03,    1.7065620422e+02,    2.7304574585e+02,
    2.0200000703e-01,    3.6289160156e+03,    3.4242016602e+03,    4.4187686157e+02,    6.4531652832e+02,
    2.0399999619e-01,    2.0832075195e+03,    1.8861501465e+03,    1.2303778076e+03,    1.4849447021e+03,
    2.0700000226e-01,    1.4550639343e+02,    1.6544445038e+01,    2.1326164551e+03,    2.3622141113e+03,
    2.0900000632e-01,   -1.3664855957e+03,   -1.3955003662e+03,    2.7141091309e+03,    2.8537524414e+03,
