acc                                                         
time,z_velocity @ 15934119,z_velocity @ 15935261,z_velocity @ 15937105,z_velocity @ 15939050,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -8.3586559296e+00,   -8.7639551163e+00,   -2.8948969841e+00,   -3.4502830505e+00,
    4.0000001900e-03,   -1.3485258102e+01,   -1.4211034775e+01,   -3.2941651344e+00,   -4.3187170029e+00,
    7.0000002161e-03,   -1.6367731094e+01,   -1.7435035706e+01,   -3.2524350286e-01,   -1.9073851109e+00,
    8.9999996126e-03,   -1.4512008667e+01,   -1.5632268906e+01,    3.5598623753e+00,    1.8244184256e+00,
    1.2000000104e-02,   -6.9832520485e+00,   -7.8450412750e+00,    1.0709121704e+01,    9.1859846115e+00,
    1.4000000432e-02,   -2.3707172275e-01,   -7.1660834551e-01,    1.5260251999e+01,    1.4160761833e+01,
    1.7000000924e-02,    9.7698984146e+00,    1.0027866364e+01,    2.0123106003e+01,    1.9917285919e+01,
    1.8999999389e-02,    1.5418021202e+01,    1.6135299683e+01,    2.2002281189e+01,    2.2395843506e+01,
    2.1999999881e-02,    2.2523433685e+01,    2.3661161423e+01,    2.4790929794e+01,    2.5789995193e+01,
    2.4000000209e-02,    2.7153688431e+01,    2.8334339142e+01,    2.8329484940e+01,    2.9430398941e+01,
    2.7000000700e-02,    3.5004970551e+01,    3.5941490173e+01,    3.7636085510e+01,    3.8447814941e+01,
    2.8999999166e-02,    4.0762447357e+01,    4.1410911560e+01,    4.6050052643e+01,    4.6464611053e+01,
    3.2000001520e-02,    4.8722343445e+01,    4.8906833649e+01,    5.8872829437e+01,    5.8613273621e+01,
    3.4000001848e-02,    5.2310604095e+01,    5.2233730316e+01,    6.5125709534e+01,    6.4489524841e+01,
    3.7000000477e-02,    5.3863475800e+01,    5.3526306152e+01,    6.8565467834e+01,    6.7594253540e+01,
    3.9000000805e-02,    5.2376815796e+01,    5.1961013794e+01,    6.6683364868e+01,    6.5660003662e+01,
    4.1999999434e-02,    4.7404640198e+01,    4.7024353027e+01,    5.8529396057e+01,    5.7693508148e+01,
    4.3999999762e-02,    4.3137195587e+01,    4.2895999908e+01,    5.0512229919e+01,    4.9981540680e+01,
    4.6999998391e-02,    3.6521125793e+01,    3.6667839050e+01,    3.6835384369e+01,    3.6991111755e+01,
    4.8999998719e-02,    3.2418327332e+01,    3.2922336578e+01,    2.8344388962e+01,    2.9036748886e+01,
