acc                                                         
time,z_velocity @ 7661001,z_velocity @ 7661002,z_velocity @ 7661003,z_velocity @ 7661004,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -2.6379325986e-01,   -1.3931831717e-01,   -1.1883013725e+01,   -1.2199379921e+01,
    4.0000001900e-03,    1.7160177231e+00,    1.8927900791e+00,   -1.9997499466e+01,   -2.0528228760e+01,
    7.0000002161e-03,    7.7830510139e+00,    7.9479875565e+00,   -2.6481527328e+01,   -2.7185489655e+01,
    8.9999996126e-03,    1.2869779587e+01,    1.2971470833e+01,   -2.5793058395e+01,   -2.6474477768e+01,
    1.2000000104e-02,    2.0174396515e+01,    2.0113313675e+01,   -1.7806156158e+01,   -1.8227510452e+01,
    1.4000000432e-02,    2.3871011734e+01,    2.3673727036e+01,   -9.5197515488e+00,   -9.6444044113e+00,
    1.7000000924e-02,    2.6439594269e+01,    2.6065916061e+01,    3.9253568649e+00,    4.3042721748e+00,
    1.8999999389e-02,    2.6511619568e+01,    2.6077728271e+01,    1.2035600662e+01,    1.2696578979e+01,
    2.1999999881e-02,    2.7132373810e+01,    2.6692209244e+01,    2.1956199646e+01,    2.2860744476e+01,
    2.4000000209e-02,    3.0117946625e+01,    2.9688589096e+01,    2.7354496002e+01,    2.8301506042e+01,
    2.7000000700e-02,    4.0258224487e+01,    3.9797718048e+01,    3.4474483490e+01,    3.5367744446e+01,
    2.8999999166e-02,    5.0158435822e+01,    4.9634979248e+01,    3.8714557648e+01,    3.9531959534e+01,
    3.2000001520e-02,    6.5644142151e+01,    6.5028915405e+01,    4.3803123474e+01,    4.4466190338e+01,
    3.4000001848e-02,    7.3247680664e+01,    7.2641418457e+01,    4.5739398956e+01,    4.6256278992e+01,
    3.7000000477e-02,    7.7314689636e+01,    7.6898597717e+01,    4.5920089722e+01,    4.6133430481e+01,
    3.9000000805e-02,    7.4786926270e+01,    7.4615051270e+01,    4.4410873413e+01,    4.4372730255e+01,
    4.1999999434e-02,    6.4098785400e+01,    6.4404876709e+01,    4.0860137939e+01,    4.0428623199e+01,
    4.3999999762e-02,    5.3491069794e+01,    5.4124805450e+01,    3.8497718811e+01,    3.7848281860e+01,
    4.6999998391e-02,    3.5312885284e+01,    3.6310131073e+01,    3.5654945374e+01,    3.4845699310e+01,
    4.8999998719e-02,    2.4222362518e+01,    2.5287393570e+01,    3.3959148407e+01,    3.3202537537e+01,
    5.2000001073e-02,    1.3104060173e+01,    1.3916904449e+01,    3.0351760864e+01,    2.9931791306e+01,
    5.4000001401e-02,    1.0590485573e+01,    1.1008794785e+01,    2.6570434570e+01,    2.6514492035e+01,
    5.7000000030e-02,    1.2860384941e+01,    1.2496294022e+01,    1.9149007797e+01,    1.9730615616e+01,
    5.9000000358e-02,    1.6198957443e+01,    1.5322112083e+01,    1.4095990181e+01,    1.5076628685e+01,
    6.1999998987e-02,    2.0197504044e+01,    1.8781497955e+01,    8.6879749298e+00,    1.0095095634e+01,
    6.4000003040e-02,    2.0637750626e+01,    1.9098726273e+01,    7.6117749214e+00,    9.1361494064e+00,
    6.7000001669e-02,    1.6947952271e+01,    1.5605714798e+01,    1.0385175705e+01,    1.1815004349e+01,
    6.8999998271e-02,    1.2068253517e+01,    1.1056431770e+01,    1.4669335365e+01,    1.5888088226e+01,
    7.1999996901e-02,    4.3902564049e+00,    3.9714293480e+00,    2.2652940750e+01,    2.3449283600e+01,
    7.4000000954e-02,    1.9657832384e+00,    1.8583284616e+00,    2.7428903580e+01,    2.7959964752e+01,
    7.6999999583e-02,    5.1576666832e+00,    5.2145543098e+00,    3.1962657928e+01,    3.2250782013e+01,
    7.9000003636e-02,    1.0764057159e+01,    1.0712992668e+01,    3.3244148254e+01,    3.3523933411e+01,
    8.2000002265e-02,    1.9543012619e+01,    1.9107757568e+01,    3.3925773621e+01,    3.4440296173e+01,
    8.3999998868e-02,    2.3314920425e+01,    2.2564966202e+01,    3.4315773010e+01,    3.5115016937e+01,
    8.6999997497e-02,    2.4839971542e+01,    2.3663494110e+01,    3.5008068085e+01,    3.6301734924e+01,
    8.9000001550e-02,    2.2983587265e+01,    2.1627374649e+01,    3.5021610260e+01,    3.6592060089e+01,
    9.2000000179e-02,    1.4703907013e+01,    1.3369675636e+01,    3.3028945923e+01,    3.4752216339e+01,
    9.3999996781e-02,    5.5467476845e+00,    4.4638705254e+00,    2.9384359360e+01,    3.0947431564e+01,
    9.7000002861e-02,   -9.9261512756e+00,   -1.0357104301e+01,    1.9085546494e+01,    1.9985944748e+01,
    9.8999999464e-02,   -1.7918159485e+01,   -1.7857027054e+01,    8.7356147766e+00,    8.9841928482e+00,
