acc                                                         
time,z_acceleration @ 15934119,z_acceleration @ 15935261,z_acceleration @ 15937105,z_acceleration @ 15939050,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -4.3574179688e+03,   -4.4969135742e+03,   -1.9813778076e+03,   -2.2007866211e+03,
    4.0000001900e-03,   -2.4543234863e+03,   -2.5957805176e+03,   -2.3951496887e+02,   -4.5655068970e+02,
    7.0000002161e-03,   -5.4756896973e+02,   -6.8932684326e+02,    1.4836782227e+03,    1.2730654297e+03,
    8.9999996126e-03,    1.4985500488e+03,    1.4107253418e+03,    2.8307724609e+03,    2.6995273438e+03,
    1.2000000104e-02,    2.9448994141e+03,    2.9736225586e+03,    3.2911042480e+03,    3.3117072754e+03,
    1.4000000432e-02,    3.4134633789e+03,    3.5883635254e+03,    2.8097412109e+03,    3.0098989258e+03,
    1.7000000924e-02,    2.8259277344e+03,    3.1210439453e+03,    1.4583966064e+03,    1.8051206055e+03,
    1.8999999389e-02,    1.8562142334e+03,    2.1910241699e+03,    8.0777122498e+01,    4.8037930298e+02,
    2.1999999881e-02,    1.2984530029e+03,    1.5537167969e+03,   -2.5618957520e+02,    5.3335887909e+01,
    2.4000000209e-02,    1.5248194580e+03,    1.6196403809e+03,    7.3918341064e+02,    8.5683966064e+02,
    2.7000000700e-02,    2.3735703125e+03,    2.2847563477e+03,    2.6359526367e+03,    2.5282416992e+03,
    2.8999999166e-02,    3.1666818848e+03,    2.9340878906e+03,    4.3855205078e+03,    4.0966713867e+03,
    3.2000001520e-02,    3.1867990723e+03,    2.9007155762e+03,    4.8468383789e+03,    4.4884946289e+03,
    3.4000001848e-02,    2.2275402832e+03,    1.9733160400e+03,    3.7103684082e+03,    3.3932119141e+03,
    3.7000000477e-02,    6.0133935547e+02,    4.4393011475e+02,    1.4291931152e+03,    1.2375742188e+03,
    3.9000000805e-02,   -1.0209342651e+03,   -1.0638128662e+03,   -1.0307182617e+03,   -1.0720008545e+03,
    4.1999999434e-02,   -2.1172624512e+03,   -2.0553068848e+03,   -3.0685471191e+03,   -2.9660432129e+03,
    4.3999999762e-02,   -2.5335270996e+03,   -2.3897006836e+03,   -4.4224599609e+03,   -4.2006347656e+03,
