acc                                                         
time,z_acceleration @ 7661001,z_acceleration @ 7661002,z_acceleration @ 7661003,z_acceleration @ 7661004,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -8.1236358643e+02,   -7.6428234863e+02,   -5.8552944336e+03,   -5.9844350586e+03,
    4.0000001900e-03,    8.8786633301e+02,    9.1035742188e+02,   -3.8281608887e+03,   -3.9244904785e+03,
    7.0000002161e-03,    2.5527707520e+03,    2.5532814941e+03,   -1.7877667236e+03,   -1.8522333984e+03,
    8.9999996126e-03,    3.5801437988e+03,    3.5535622559e+03,    7.0854339600e+02,    7.0166326904e+02,
    1.2000000104e-02,    3.5827124023e+03,    3.5214990234e+03,    2.7815507812e+03,    2.8537795410e+03,
    1.4000000432e-02,    2.6616259766e+03,    2.5661960449e+03,    3.8513330078e+03,    4.0026420898e+03,
    1.7000000924e-02,    9.3004156494e+02,    8.2436883545e+02,    3.7369401855e+03,    3.9318227539e+03,
    1.8999999389e-02,   -6.9230017090e+02,   -7.7587615967e+02,    3.0087138672e+03,    3.1930742188e+03,
    2.1999999881e-02,   -9.8341577148e+02,   -1.0208788452e+03,    2.3026875000e+03,    2.4205017090e+03,
    2.4000000209e-02,    3.4266134644e+02,    3.5121151733e+02,    2.0506013184e+03,    2.0787685547e+03,
    2.7000000700e-02,    2.7353071289e+03,    2.7749553223e+03,    2.2553984375e+03,    2.2008459473e+03,
    2.8999999166e-02,    4.9544067383e+03,    5.0091987305e+03,    2.4591420898e+03,    2.3467722168e+03,
    3.2000001520e-02,    5.6238632812e+03,    5.6868916016e+03,    2.1914462891e+03,    2.0532753906e+03,
    3.4000001848e-02,    4.3634643555e+03,    4.4393432617e+03,    1.3043341064e+03,    1.1616396484e+03,
    3.7000000477e-02,    1.7063442383e+03,    1.7962384033e+03,    3.1863248825e+01,   -9.7246620178e+01,
    3.9000000805e-02,   -1.2196711426e+03,   -1.1194367676e+03,   -1.1237738037e+03,   -1.2295825195e+03,
    4.1999999434e-02,   -3.7682304688e+03,   -3.6652851562e+03,   -1.6809752197e+03,   -1.7549910889e+03,
    4.3999999762e-02,   -5.6170185547e+03,   -5.5220048828e+03,   -1.5468422852e+03,   -1.5816030273e+03,
    4.6999998391e-02,   -6.2769536133e+03,   -6.2104130859e+03,   -9.1631976318e+02,   -9.0404705811e+02,
    4.8999998719e-02,   -5.4762910156e+03,   -5.4657480469e+03,   -2.9086804199e+02,   -2.2567385864e+02,
    5.2000001073e-02,   -3.2387534180e+03,   -3.3098161621e+03,   -1.7457019043e+02,   -5.7624996185e+01,
    5.4000001401e-02,   -4.2972344971e+02,   -5.8673571777e+02,   -6.2048657227e+02,   -4.6176873779e+02,
    5.7000000030e-02,    1.7200617676e+03,    1.5058131104e+03,   -1.3602720947e+03,   -1.1815841064e+03,
    5.9000000358e-02,    2.4927917480e+03,    2.2698332520e+03,   -1.9080423584e+03,   -1.7355582275e+03,
    6.1999998987e-02,    1.7515935059e+03,    1.5789410400e+03,   -1.8818038330e+03,   -1.7469831543e+03,
    6.4000003040e-02,    9.4289703369e+01,    1.3794430733e+01,   -1.2730167236e+03,   -1.2005025635e+03,
    6.7000001669e-02,   -1.9266396484e+03,   -1.8931242676e+03,   -1.9436027527e+02,   -2.0009269714e+02,
    6.8999998271e-02,   -3.5981967773e+03,   -3.4603330078e+03,    9.9203887939e+02,    9.0940380859e+02,
    7.1999996901e-02,   -3.8703791504e+03,   -3.6753552246e+03,    1.8921846924e+03,    1.7528002930e+03,
    7.4000000954e-02,   -2.2941345215e+03,   -2.1065622559e+03,    2.2508874512e+03,    2.0867629395e+03,
    7.6999999583e-02,    5.3435131836e+02,    6.5028063965e+02,    2.0060090332e+03,    1.8614405518e+03,
    7.9000003636e-02,    2.8666750488e+03,    2.8840942383e+03,    1.4922872314e+03,    1.4067662354e+03,
    8.2000002265e-02,    3.3897844238e+03,    3.3148059082e+03,    9.6933862305e+02,    9.7373925781e+02,
    8.3999998868e-02,    2.5153596191e+03,    2.3731220703e+03,    4.9552908325e+02,    5.9222924805e+02,
    8.6999997497e-02,    1.0704061279e+03,    8.9834246826e+02,   -3.7071350098e+01,    1.2369398499e+02,
    8.9000001550e-02,   -6.7062939453e+02,   -8.2787066650e+02,   -7.3313018799e+02,   -5.5541467285e+02,
    9.2000000179e-02,   -3.1038698730e+03,   -3.1810178223e+03,   -1.6045616455e+03,   -1.4798192139e+03,
    9.3999996781e-02,   -5.6153178711e+03,   -5.5664746094e+03,   -2.6104345703e+03,   -2.5997739258e+03,
    9.7000002861e-02,   -6.5928920898e+03,   -6.4157910156e+03,   -3.6162656250e+03,   -3.7577644043e+03,
    9.8999999464e-02,   -5.3156088867e+03,   -5.0572602539e+03,   -4.4709370117e+03,   -4.7518950195e+03,
    1.0199999809e-01,   -2.4451247559e+03,   -2.1832573242e+03,   -4.8017548828e+03,   -5.1527753906e+03,
    1.0400000215e-01,    3.0249545288e+02,    5.0361795044e+02,   -4.2550415039e+03,   -4.5830668945e+03,
    1.0700000077e-01,    1.4659876709e+03,    1.5606384277e+03,   -2.6190346680e+03,   -2.8206357422e+03,
    1.0899999738e-01,    7.6283032227e+02,    7.4212493896e+02,   -2.7028265381e+02,   -2.8605856323e+02,
    1.1200000346e-01,   -1.5103991699e+03,   -1.6321617432e+03,    1.9542966309e+03,    2.1387119141e+03,
    1.1400000006e-01,   -4.1135205078e+03,   -4.3129707031e+03,    3.1438178711e+03,    3.4942758789e+03,
    1.1699999869e-01,   -5.2201406250e+03,   -5.4730878906e+03,    2.4643308105e+03,    2.8996052246e+03,
    1.1900000274e-01,   -3.7420881348e+03,   -4.0244274902e+03,    2.0651196289e+02,    6.2881640625e+02,
    1.2200000137e-01,   -5.8708702087e+01,   -3.1374441528e+02,   -2.5222629395e+03,   -2.2288640137e+03,
    1.2399999797e-01,    3.6691623535e+03,    3.5105954590e+03,   -4.2622373047e+03,   -4.1700693359e+03,
    1.2700000405e-01,    5.5330395508e+03,    5.5336757812e+03,   -3.8881296387e+03,   -4.0128137207e+03,
    1.2899999321e-01,    5.2798603516e+03,    5.4488876953e+03,   -1.5859848633e+03,   -1.8772335205e+03,
    1.3199999928e-01,    3.4644152832e+03,    3.7472026367e+03,    1.8911502686e+03,    1.5382546387e+03,
    1.3400000334e-01,    1.0112395020e+03,    1.3242230225e+03,    5.1182988281e+03,    4.8068115234e+03,
    1.3699999452e-01,   -1.5308647461e+03,   -1.2807839355e+03,    6.6808256836e+03,    6.4952919922e+03,
    1.3899999857e-01,   -3.2283962402e+03,   -3.0971904297e+03,    6.1180644531e+03,    6.0786508789e+03,
    1.4200000465e-01,   -2.7335483398e+03,   -2.7447446289e+03,    3.4647470703e+03,    3.5348078613e+03,
    1.4399999380e-01,   -3.0637625122e+02,   -4.3917462158e+02,   -1.4662394714e+02,   -3.1072565079e+01,
    1.4699999988e-01,    2.3667001953e+03,    2.1827009277e+03,   -3.3913579102e+03,   -3.3000341797e+03,
    1.4900000393e-01,    3.7445041504e+03,    3.5879252930e+03,   -5.3075185547e+03,   -5.2812055664e+03,
    1.5199999511e-01,    3.4040764160e+03,    3.3430993652e+03,   -5.3562807617e+03,   -5.4118193359e+03,
    1.5399999917e-01,    1.6793891602e+03,    1.7417681885e+03,   -4.0424758301e+03,   -4.1703061523e+03,
    1.5700000525e-01,   -1.0981484375e+03,   -9.2006866455e+02,   -1.9689833984e+03,   -2.1414829102e+03,
    1.5899999440e-01,   -3.8601689453e+03,   -3.6078237305e+03,   -1.0759404898e+00,   -1.8563282776e+02,
    1.6200000048e-01,   -4.9895517578e+03,   -4.7436630859e+03,    1.0905104980e+03,    9.3204840088e+02,
    1.6400000453e-01,   -3.9113525391e+03,   -3.7505871582e+03,    1.1437567139e+03,    1.0425471191e+03,
    1.6699999571e-01,   -1.5171005859e+03,   -1.4965399170e+03,    2.4478681946e+02,    2.2975595093e+02,
    1.6899999976e-01,    4.3472534180e+02,    3.1647579956e+02,   -1.0197957153e+03,   -9.3903198242e+02,
    1.7200000584e-01,    1.2952852783e+03,    1.0842864990e+03,   -2.1738388672e+03,   -2.0150743408e+03,
    1.7399999499e-01,    1.8769113770e+03,    1.6289478760e+03,   -2.7930639648e+03,   -2.5947702637e+03,
    1.7700000107e-01,    2.1919499512e+03,    1.9780205078e+03,   -2.4304707031e+03,   -2.2459506836e+03,
    1.7900000513e-01,    1.1256870117e+03,    1.0125291748e+03,   -1.1191585693e+03,   -9.8806860352e+02,
    1.8199999630e-01,   -1.3577539062e+03,   -1.3273427734e+03,    7.9507104492e+02,    8.4629614258e+02,
    1.8400000036e-01,   -3.5067138672e+03,   -3.3493901367e+03,    2.4854711914e+03,    2.4523635254e+03,
    1.8700000644e-01,   -3.8561223145e+03,   -3.6389655762e+03,    3.1992424316e+03,    3.0957529297e+03,
    1.8899999559e-01,   -2.2828105469e+03,   -2.0816796875e+03,    2.7940976562e+03,    2.6462807617e+03,
    1.9200000167e-01,    2.7903997803e+02,    3.9811636353e+02,    1.4223382568e+03,    1.2705145264e+03,
    1.9400000572e-01,    2.5184489746e+03,    2.5279172363e+03,   -2.8917709351e+02,   -4.0699932861e+02,
    1.9699999690e-01,    3.9824982910e+03,    3.8818801270e+03,   -1.6624450684e+03,   -1.7112832031e+03,
    1.9900000095e-01,    4.6086435547e+03,    4.4235009766e+03,   -2.2096386719e+03,   -2.1742048340e+03,
    2.0200000703e-01,    3.7636621094e+03,    3.5533422852e+03,   -1.6193072510e+03,   -1.5080222168e+03,
    2.0399999619e-01,    1.7159881592e+03,    1.5425753174e+03,   -2.6758114624e+02,   -1.1169360352e+02,
    2.0700000226e-01,   -6.5988012695e+02,   -7.4196533203e+02,    1.2864648438e+03,    1.4316990967e+03,
    2.0900000632e-01,   -2.3715280762e+03,   -2.3407958984e+03,    2.4261086426e+03,    2.5087480469e+03,
    2.1199999750e-01,   -2.6270581055e+03,   -2.4964201660e+03,    2.6253193359e+03,    2.6052700195e+03,
    2.1400000155e-01,   -1.4144331055e+03,   -1.2240463867e+03,    1.8297525635e+03,    1.7000637207e+03,
    2.1699999273e-01,    8.4255303955e+02,    1.0348432617e+03,    3.0684356689e+02,    9.6131454468e+01,
    2.1899999678e-01,    3.1483244629e+03,    3.2985932617e+03,   -1.1944934082e+03,   -1.4370948486e+03,
    2.2200000286e-01,    4.4373583984e+03,    4.5168627930e+03,   -1.9625397949e+03,   -2.1688564453e+03,
    2.2400000691e-01,    4.3007583008e+03,    4.3041127930e+03,   -1.7049517822e+03,   -1.8188920898e+03,
    2.2699999809e-01,    2.8770979004e+03,    2.8113642578e+03,   -4.4135455322e+02,   -4.2178479004e+02,
    2.2900000215e-01,    1.0788352051e+03,    9.5581750488e+02,    1.2285443115e+03,    1.3880917969e+03,
    2.3199999332e-01,   -3.5123278809e+02,   -5.1285382080e+02,    2.5703061523e+03,    2.8392404785e+03,
    2.3399999738e-01,   -1.1767580566e+03,   -1.3542487793e+03,    3.0642773438e+03,    3.3889660645e+03,
    2.3700000346e-01,   -1.3814088135e+03,   -1.5421506348e+03,    2.4694575195e+03,    2.7747197266e+03,
    2.3899999261e-01,   -1.1904495850e+03,   -1.3059398193e+03,    1.1849621582e+03,    1.4093963623e+03,
    2.4199999869e-01,   -5.4388995361e+02,   -5.9427331543e+02,   -2.3111793518e+02,   -1.3148721313e+02,
    2.4400000274e-01,    4.9417288208e+02,    5.0841339111e+02,   -1.1950358887e+03,   -1.2250832520e+03,
    2.4699999392e-01,    1.5177364502e+03,    1.5805847168e+03,   -1.2825874023e+03,   -1.4104355469e+03,
    2.4899999797e-01,    2.0111290283e+03,    2.0999545898e+03,   -5.7718188477e+02,   -7.5075378418e+02,
    2.5200000405e-01,    1.6622064209e+03,    1.7468084717e+03,    6.1452008057e+02,    4.6104943848e+02,
    2.5400000811e-01,    6.2685070801e+02,    6.8282843018e+02,    1.7442583008e+03,    1.6586520996e+03,
    2.5699999928e-01,   -8.5474035645e+02,   -8.4642193604e+02,    2.3649404297e+03,    2.3771599121e+03,
    2.5900000334e-01,   -2.2123769531e+03,   -2.2580952148e+03,    2.3398793945e+03,    2.4492553711e+03,
    2.6199999452e-01,   -2.7927631836e+03,   -2.8870649414e+03,    1.6774311523e+03,    1.8549725342e+03,
    2.6399999857e-01,   -2.3804479980e+03,   -2.5075300293e+03,    6.7441735840e+02,    8.7697265625e+02,
    2.6699998975e-01,   -1.0292822266e+03,   -1.1594642334e+03,   -3.7720004272e+02,   -2.0581416321e+02,
    2.6899999380e-01,    6.9224169922e+02,    5.8989263916e+02,   -1.2600078125e+03,   -1.1639265137e+03,
    2.7200001478e-01,    2.1184428711e+03,    2.0749648438e+03,   -1.8048571777e+03,   -1.8135341797e+03,
    2.7399998903e-01,    2.8039531250e+03,    2.8345454102e+03,   -2.0154648438e+03,   -2.1299675293e+03,
    2.7700001001e-01,    2.5198286133e+03,    2.6206513672e+03,   -1.8234614258e+03,   -2.0156925049e+03,
    2.7900001407e-01,    1.5626491699e+03,    1.7131442871e+03,   -1.2677330322e+03,   -1.4947401123e+03,
    2.8200000525e-01,    2.2438940430e+02,    3.8918063354e+02,   -3.6800582886e+02,   -5.7441381836e+02,
    2.8400000930e-01,   -1.0171676636e+03,   -8.7172607422e+02,    7.1361614990e+02,    5.6957580566e+02,
    2.8700000048e-01,   -1.6098118896e+03,   -1.5181879883e+03,    1.7019550781e+03,    1.6486667480e+03,
    2.8900000453e-01,   -1.3726560059e+03,   -1.3555955811e+03,    2.3720270996e+03,    2.4146679688e+03,
    2.9199999571e-01,   -4.7539614868e+02,   -5.3800433350e+02,    2.4987836914e+03,    2.6234873047e+03,
    2.9399999976e-01,    4.5978717041e+02,    3.3156600952e+02,    2.1671367188e+03,    2.3495131836e+03,
    2.9699999094e-01,    9.6060650635e+02,    8.0021832275e+02,    1.5242230225e+03,    1.7270581055e+03,
    2.9899999499e-01,    9.6233300781e+02,    8.0585589600e+02,    8.3422564697e+02,    1.0218693848e+03,
