acc                                                         
time,z_acceleration @ 15934119,z_acceleration @ 15935261,z_acceleration @ 15937105,z_acceleration @ 15939050,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -4.1793281250e+03,   -4.3819780273e+03,   -1.4474486084e+03,   -1.7251416016e+03,
    4.0000001900e-03,   -2.5633010254e+03,   -2.7235400391e+03,   -1.9963415527e+02,   -4.3421701050e+02,
    7.0000002161e-03,   -9.6082440186e+02,   -1.0746668701e+03,    9.8964050293e+02,    8.0377722168e+02,
    8.9999996126e-03,    9.2786120605e+02,    9.0138305664e+02,    1.9425528564e+03,    1.8659017334e+03,
    1.2000000104e-02,    2.5095856934e+03,    2.5957426758e+03,    2.3830864258e+03,    2.4538552246e+03,
    1.4000000432e-02,    3.3730903320e+03,    3.5642165527e+03,    2.2755654297e+03,    2.4873884277e+03,
    1.7000000924e-02,    3.3356567383e+03,    3.5814916992e+03,    1.6209515381e+03,    1.9188413086e+03,
    1.8999999389e-02,    2.8240615234e+03,    3.0537165527e+03,    9.3958740234e+02,    1.2392790527e+03,
    2.1999999881e-02,    2.3684707031e+03,    2.5086206055e+03,    9.2954919434e+02,    1.1313840332e+03,
    2.4000000209e-02,    2.3151279297e+03,    2.3365886230e+03,    1.7692778320e+03,    1.8202012939e+03,
    2.7000000700e-02,    2.6170935059e+03,    2.5357167969e+03,    3.1021999512e+03,    3.0058051758e+03,
    2.8999999166e-02,    2.8787404785e+03,    2.7347119141e+03,    4.2069833984e+03,    4.0083979492e+03,
    3.2000001520e-02,    2.6532985840e+03,    2.4986406250e+03,    4.2742597656e+03,    4.0495539551e+03,
    3.4000001848e-02,    1.7941292725e+03,    1.6634492188e+03,    3.1264384766e+03,    2.9381247559e+03,
    3.7000000477e-02,    5.1762445068e+02,    4.3085876465e+02,    1.1465858154e+03,    1.0349095459e+03,
    3.9000000805e-02,   -7.4332989502e+02,   -7.8264666748e+02,   -9.4104815674e+02,   -9.6712170410e+02,
    4.1999999434e-02,   -1.6573918457e+03,   -1.6455538330e+03,   -2.7179899902e+03,   -2.6554987793e+03,
    4.3999999762e-02,   -2.1337226562e+03,   -2.0641757812e+03,   -4.0085834961e+03,   -3.8559838867e+03,
    4.6999998391e-02,   -2.2053554688e+03,   -2.0760541992e+03,   -4.5589487305e+03,   -4.3301435547e+03,
    4.8999998719e-02,   -2.0514001465e+03,   -1.8727495117e+03,   -4.2454980469e+03,   -3.9771809082e+03,
    5.2000001073e-02,   -1.8772858887e+03,   -1.6762966309e+03,   -3.0936660156e+03,   -2.8440812988e+03,
    5.4000001401e-02,   -1.7751341553e+03,   -1.5811701660e+03,   -1.5716784668e+03,   -1.3857508545e+03,
    5.7000000030e-02,   -1.6990424805e+03,   -1.5375087891e+03,   -3.0822171021e+02,   -2.0061589050e+02,
    5.9000000358e-02,   -1.5179018555e+03,   -1.4026392822e+03,    3.2709396362e+02,    3.7125350952e+02,
    6.1999998987e-02,   -1.0907983398e+03,   -1.0333259277e+03,    2.9377163696e+02,    2.9681625366e+02,
