acc                                                         
time,z_acceleration @ 7661001,z_acceleration @ 7661002,z_acceleration @ 7661003,z_acceleration @ 7661004,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    2.0000000950e-03,   -1.3189662170e+02,   -6.9659164429e+01,   -5.9415068359e+03,   -6.0996899414e+03,
    4.0000001900e-03,    9.8990545654e+02,    1.0160541992e+03,   -4.0572429199e+03,   -4.1644248047e+03,
    7.0000002161e-03,    2.0223443604e+03,    2.0183990479e+03,   -2.1613430176e+03,   -2.2190866699e+03,
    8.9999996126e-03,    2.5433640137e+03,    2.5117414551e+03,    3.4423452759e+02,    3.5550576782e+02,
    1.2000000104e-02,    2.4348720703e+03,    2.3806142578e+03,    2.6623007812e+03,    2.7489887695e+03,
    1.4000000432e-02,    1.8483078613e+03,    1.7802066650e+03,    4.1432026367e+03,    4.2915537109e+03,
    1.7000000924e-02,    8.5619415283e+02,    7.9739636230e+02,    4.4817031250e+03,    4.6495590820e+03,
    1.8999999389e-02,    3.6013023376e+01,    5.9058337212e+00,    4.0551218262e+03,    4.1961533203e+03,
    2.1999999881e-02,    2.0691780090e+02,    2.0482705688e+02,    3.3068664551e+03,    3.3880549316e+03,
    2.4000000209e-02,    1.4927863770e+03,    1.4981899414e+03,    2.6991486816e+03,    2.7203808594e+03,
    2.7000000700e-02,    3.3800932617e+03,    3.3697092285e+03,    2.3733291016e+03,    2.3554133301e+03,
    2.8999999166e-02,    4.9501054688e+03,    4.9186323242e+03,    2.1200371094e+03,    2.0821071777e+03,
    3.2000001520e-02,    5.1619008789e+03,    5.1313100586e+03,    1.6961892090e+03,    1.6447443848e+03,
    3.4000001848e-02,    3.8017690430e+03,    3.8062517090e+03,    9.6813830566e+02,    8.9504412842e+02,
    3.7000000477e-02,    1.3556702881e+03,    1.4190616455e+03,    6.0229930878e+01,   -4.0949291229e+01,
    3.9000000805e-02,   -1.2638817139e+03,   -1.1417724609e+03,   -7.5460717773e+02,   -8.8035034180e+02,
    4.1999999434e-02,   -3.5627131348e+03,   -3.4033916016e+03,   -1.1835789795e+03,   -1.3147016602e+03,
    4.3999999762e-02,   -5.3038569336e+03,   -5.1400366211e+03,   -1.1812098389e+03,   -1.2901715088e+03,
    4.6999998391e-02,   -6.0593950195e+03,   -5.9382250977e+03,   -9.4759069824e+02,   -1.0008600464e+03,
    4.8999998719e-02,   -5.5452612305e+03,   -5.5113691406e+03,   -8.4789746094e+02,   -8.2158056641e+02,
    5.2000001073e-02,   -3.7061008301e+03,   -3.7901630859e+03,   -1.2024628906e+03,   -1.0902489014e+03,
    5.4000001401e-02,   -1.2567872314e+03,   -1.4540545654e+03,   -1.8906628418e+03,   -1.7086492920e+03,
    5.7000000030e-02,    7.5663293457e+02,    4.9583306885e+02,   -2.4738088379e+03,   -2.2612917480e+03,
    5.9000000358e-02,    1.6692866211e+03,    1.4129086914e+03,   -2.5265080566e+03,   -2.3269934082e+03,
    6.1999998987e-02,    1.3328486328e+03,    1.1531285400e+03,   -1.8026713867e+03,   -1.6605108643e+03,
    6.4000003040e-02,    2.2012283325e+02,    1.5861445618e+02,   -5.3810015869e+02,   -4.7947280884e+02,
    6.7000001669e-02,   -1.2299321289e+03,   -1.1643369141e+03,    9.2446710205e+02,    8.9295184326e+02,
    6.8999998271e-02,   -2.4398496094e+03,   -2.2746418457e+03,    2.1420800781e+03,    2.0365419922e+03,
    7.1999996901e-02,   -2.5593322754e+03,   -2.3616672363e+03,    2.6612016602e+03,    2.5203989258e+03,
    7.4000000954e-02,   -1.2122363281e+03,   -1.0565502930e+03,    2.3879814453e+03,    2.2553400879e+03,
    7.6999999583e-02,    1.0639611816e+03,    1.1187419434e+03,    1.5112515869e+03,    1.4302727051e+03,
    7.9000003636e-02,    2.8031953125e+03,    2.7492194824e+03,    6.4074499512e+02,    6.3657525635e+02,
    8.2000002265e-02,    2.9263181152e+03,    2.7982546387e+03,    2.2720925903e+02,    3.0545556641e+02,
    8.3999998868e-02,    1.8859544678e+03,    1.7286049805e+03,    1.9499905396e+02,    3.3735998535e+02,
    8.6999997497e-02,    5.0834997559e+02,    3.6617584229e+02,    2.3076525879e+02,    3.9557208252e+02,
    8.9000001550e-02,   -9.2819177246e+02,   -1.0180598145e+03,    6.7719960213e+00,    1.4516320801e+02,
    9.2000000179e-02,   -2.7598930664e+03,   -2.7525661621e+03,   -6.6422204590e+02,   -6.1328057861e+02,
    9.3999996781e-02,   -4.5785795898e+03,   -4.4529023438e+03,   -1.8222923584e+03,   -1.9023930664e+03,
    9.7000002861e-02,   -5.1576328125e+03,   -4.9403247070e+03,   -3.4329377441e+03,   -3.6538288574e+03,
    9.8999999464e-02,   -3.9960043945e+03,   -3.7499614258e+03,   -5.1749663086e+03,   -5.5008759766e+03,
    1.0199999809e-01,   -1.7664663086e+03,   -1.5653306885e+03,   -6.3626044922e+03,   -6.7130893555e+03,
    1.0400000215e-01,    1.0602827454e+02,    2.2136596680e+02,   -6.3051289062e+03,   -6.5947460938e+03,
    1.0700000077e-01,    4.7998684692e+02,    5.0332565308e+02,   -4.5011279297e+03,   -4.6517675781e+03,
    1.0899999738e-01,   -6.7089807129e+02,   -7.1612371826e+02,   -1.4147056885e+03,   -1.3947059326e+03,
    1.1200000346e-01,   -2.8138344727e+03,   -2.8942844238e+03,    1.9261114502e+03,    2.1053037109e+03,
    1.1400000006e-01,   -4.7721904297e+03,   -4.8707836914e+03,    4.1973652344e+03,    4.4930034180e+03,
    1.1699999869e-01,   -4.9255239258e+03,   -5.0513374023e+03,    4.1165937500e+03,    4.4598896484e+03,
    1.1900000274e-01,   -2.5970886230e+03,   -2.7681447754e+03,    1.7911258545e+03,    2.1115817871e+03,
    1.2200000137e-01,    1.5142587891e+03,    1.3119169922e+03,   -1.6792800293e+03,   -1.4604608154e+03,
    1.2399999797e-01,    5.2232617188e+03,    5.0410205078e+03,   -4.4316845703e+03,   -4.3619716797e+03,
    1.2700000405e-01,    6.6350981445e+03,    6.5450083008e+03,   -4.9320371094e+03,   -5.0177709961e+03,
    1.2899999321e-01,    5.6713271484e+03,    5.7119995117e+03,   -3.0932849121e+03,   -3.2940817871e+03,
    1.3199999928e-01,    3.0529406738e+03,    3.2146325684e+03,    4.9647924805e+02,    2.5744827271e+02,
    1.3400000334e-01,   -9.3802728653e+00,    2.2720115662e+02,    4.2845288086e+03,    4.0772033691e+03,
    1.3699999452e-01,   -2.6561840820e+03,   -2.4110341797e+03,    6.6910585938e+03,    6.5640415039e+03,
    1.3899999857e-01,   -3.9979328613e+03,   -3.7994843750e+03,    6.9097651367e+03,    6.8652895508e+03,
    1.4200000465e-01,   -2.9147216797e+03,   -2.8131062012e+03,    4.6160029297e+03,    4.6222578125e+03,
    1.4399999380e-01,    3.6813419342e+01,    2.5346477509e+01,    8.5870776367e+02,    8.7457617188e+02,
    1.4699999988e-01,    3.0488149414e+03,    2.9553642578e+03,   -2.9628679199e+03,   -2.9726286621e+03,
    1.4900000393e-01,    4.5424584961e+03,    4.4244003906e+03,   -5.5980195312e+03,   -5.6463925781e+03,
    1.5199999511e-01,    3.9829052734e+03,    3.9042055664e+03,   -6.2793662109e+03,   -6.3627495117e+03,
    1.5399999917e-01,    1.8078818359e+03,    1.8102419434e+03,   -5.3360795898e+03,   -5.4424326172e+03,
    1.5700000525e-01,   -1.5019935303e+03,   -1.3970688477e+03,   -3.2323618164e+03,   -3.3488308105e+03,
    1.5899999440e-01,   -4.7292666016e+03,   -4.5359765625e+03,   -9.2545220947e+02,   -1.0414892578e+03,
    1.6200000048e-01,   -6.2044428711e+03,   -5.9822382812e+03,    6.6690484619e+02,    5.6451770020e+02,
    1.6400000453e-01,   -5.3450634766e+03,   -5.1666987305e+03,    1.1928955078e+03,    1.1197255859e+03,
    1.6699999571e-01,   -2.8676018066e+03,   -2.7933149414e+03,    6.6975170898e+02,    6.4547760010e+02,
    1.6899999976e-01,   -4.7691513062e+02,   -5.1798645020e+02,   -3.0736853027e+02,   -2.7221249390e+02,
    1.7200000584e-01,    1.0710134277e+03,    9.3821374512e+02,   -1.3154664307e+03,   -1.2246534424e+03,
    1.7399999499e-01,    2.2368449707e+03,    2.0444963379e+03,   -1.9664691162e+03,   -1.8355836182e+03,
    1.7700000107e-01,    2.8266835938e+03,    2.6248217773e+03,   -1.7745113525e+03,   -1.6293791504e+03,
    1.7900000513e-01,    1.8706018066e+03,    1.7209084473e+03,   -5.8796411133e+02,   -4.5356231689e+02,
    1.8199999630e-01,   -6.2952868652e+02,   -6.7656451416e+02,    1.3403382568e+03,    1.4414843750e+03,
    1.8400000036e-01,   -2.9717817383e+03,   -2.9196643066e+03,    3.1136665039e+03,    3.1716867676e+03,
    1.8700000644e-01,   -3.7216750488e+03,   -3.6189326172e+03,    3.9061518555e+03,    3.9201779785e+03,
    1.8899999559e-01,   -2.6508615723e+03,   -2.5560649414e+03,    3.5362993164e+03,    3.5136804199e+03,
    1.9200000167e-01,   -4.8963412476e+02,   -4.4970474243e+02,    2.1841848145e+03,    2.1404746094e+03,
    1.9400000572e-01,    1.5788236084e+03,    1.5487158203e+03,    4.9983163452e+02,    4.5391983032e+02,
    1.9699999690e-01,    3.0941120605e+03,    2.9971623535e+03,   -8.7678485107e+02,   -9.0068884277e+02,
    1.9900000095e-01,    3.8952556152e+03,    3.7508881836e+03,   -1.4828304443e+03,   -1.4676711426e+03,
    2.0200000703e-01,    3.3745832520e+03,    3.2286691895e+03,   -9.9193383789e+02,   -9.3528759766e+02,
    2.0399999619e-01,    1.7564992676e+03,    1.6562019043e+03,    2.3821488953e+02,    3.1976864624e+02,
    2.0700000226e-01,   -1.9237545776e+02,   -2.1064738464e+02,    1.6250057373e+03,    1.6961092529e+03,
    2.0900000632e-01,   -1.5924514160e+03,   -1.5206376953e+03,    2.5492827148e+03,    2.5748103027e+03,
    2.1199999750e-01,   -1.7607703857e+03,   -1.6206448975e+03,    2.4967561035e+03,    2.4509528809e+03,
    2.1400000155e-01,   -6.9370288086e+02,   -5.2547998047e+02,    1.4507633057e+03,    1.3321403809e+03,
    2.1699999273e-01,    1.1930043945e+03,    1.3404989014e+03,   -2.5349171448e+02,   -4.1949545288e+02,
